"link","jenis_pekerjaan","nama_perusahaan","lokasi_perusahaan","kemampuan"
"https://www.techinasia.com/jobs/44687e1b-9cb7-465a-945e-69055c27af5f","Junior Performance Marketing Consultant","Ematic Solutions","Makati City, Philippines","Sales & Marketing, Digital Marketing, Business Development & Partnerships, Marketing Communications"
"https://www.techinasia.com/jobs/2f0772da-8e58-4b16-8d6b-5519ecf60f3f","Senior DATABASE Engineer","PT. Alpha Indo Soft","Jakarta, Indonesia","Python, Golang, PostgreSQL, SQL, Databases"
"https://www.techinasia.com/jobs/b19d055c-547a-465d-9789-5ae83702c010","Compensation and Benefit Specialist","TADA","Jakarta, Indonesia","Management Payroll, Compensation & Benefits, Analytics Attention to Detail, Microsoft Excel"
"https://www.techinasia.com/jobs/a9461400-69ea-4195-a085-8aa8c4240130","SENIOR GoLang Developer","PT. Alpha Indo Soft","Jakarta, Indonesia","Golang, Jenkins, Web Applications, SQL, PostgreSQL, SQL Server, Amazon Web Services (AWS), NoSQL, Redis, Cassandra, Databases, Design Patterns, RESTful Services"
"https://www.techinasia.com/jobs/1a25aa63-2d96-4055-8a79-506823762818","SENIOR Front End Game Developer","PT. Alpha Indo Soft","Jakarta, Indonesia","Javascript, React.js, Git, HTML, CSS3"
"https://www.techinasia.com/jobs/5c98366d-f98a-4233-8200-e9fae45ef244","Customer Service Specialist","movus technologies","Jakarta, Indonesia","English Language, Customer Service, Communication Skills, Negotiation"
"https://www.techinasia.com/jobs/aae7cd1d-96e1-4672-b70e-01fba34aeda2","2D Animator","PT. Alpha Indo Soft","Jakarta, Indonesia","Unity3D, Adobe After Effects, Adobe Photoshop, Adobe Illustrator"
"https://www.techinasia.com/jobs/f431ee97-17a5-4ce7-b019-177ee8e61ae0","Marketing & Partnership Intern","Topremit","Medan, Sumatra, Indonesia","Negotiation, Communication Skills, English Language, Community Management"
"https://www.techinasia.com/jobs/d8f4067a-0fb3-4d99-890b-071073f2fd47","IT Infrastructure","Halodoc ID","Jakarta, Indonesia","Infrastructure Troubleshooting, Linux System Administration, System Administration, Operating Systems"
"https://www.techinasia.com/jobs/6801cdd9-6f86-43fe-8741-70c92cd2de04","Senior Frontend Engineer","Waresix","Jakarta, Indonesia","React.js, HTML, CSS, Javascript, Vue.js"
"https://www.techinasia.com/jobs/03e717ce-3278-40ec-b595-2a41fc943700","Software Business Analyst","Deliveree Indonesia","Jakarta, Indonesia","Mobile Application, Development, Databases, Problem Solving, Google Apps, User Interface (UI), Analytics & Reporting, SQL, Web Applications, Product Management, Mobile User Experience, Data Analysis, English Language"
"https://www.techinasia.com/jobs/5425c21c-e481-494b-8f3d-a11fe9bdb112","CS Team Leader","Deliveree Indonesia","Jakarta, Indonesia","People Management, Management Customer, Experience Customer, Service Customer, Relationship Management, Quality Control"
"https://www.techinasia.com/jobs/dbc709ff-9c3e-4e4f-b8df-248f352f5ecc","Software Product Manager","Deliveree Indonesia","Jakarta, Indonesia","Mobile Application, Development Databases, Problem Solving, Google Apps, User Interface (UI), Analytics & Reporting, Web Applications, Data Management, Product Management, Data Analysis, English Language"
"https://www.techinasia.com/jobs/dd93ac25-4cbd-4b3a-b3a2-4d11870b6871","Technical Writer (Woman)","Indocyber Global Teknologi","Jakarta, Indonesia","Technical Writing, Communication Skills, SDLC"
"https://www.techinasia.com/jobs/3ccb42fe-70b8-4c47-9145-b1f98c3cd097","Business Development - Bali","Mekari","Denpasar, Bali, Indonesia","Sales & Marketing, Business Development, Business Development & Partnerships, Communication Skills"
"https://www.techinasia.com/jobs/cc57ec49-f04c-4123-9021-f5b131be1353","Sales Business Development (Digital Sign Product)","Mekari","Jakarta, Indonesia","Sales & Marketing, Business Development, Business Development & Partnerships, Communication Skills"
"https://www.techinasia.com/jobs/0372c52a-bc90-4231-94dc-b0b064a300f7","International Business Sales","PT WIR Asia Tbk","Jakarta, Indonesia","International Business, Sales & Marketing, Communication Skills, Communications"
"https://www.techinasia.com/jobs/1e78300c-98b4-462c-8f24-d1c87d716f63","Front End Engineer (React.JS)","2359 Media","Bandung, Java, Indonesia","React.js, UI/UX Design, HTML, CSS, MySQL, REST APIs"
"https://www.techinasia.com/jobs/f4c886c6-63d9-4083-b75b-633d3e6fde55","Golang Developer","SIGMATECH","Jakarta, Indonesia","Golang, Object-oriented Programming (OOP), MySQL, Git, RDBMS"
"https://www.techinasia.com/jobs/9ec2fec2-dc77-4a07-bf93-8459f4e5cd4a","IOS Developer","SIGMATECH","Jakarta, Indonesia","iOS Development, Swift, SDLC ,JSON, XML, SQL, SQLite, Git, Xcode, Objective-C"
"https://www.techinasia.com/jobs/bc37ff51-638a-4da5-a697-2fa5b22661e8",".NET Developer - Insurance Company","SIGMATECH","Jakarta, Indonesia","C#, ASP.NET, RESTful Services, JSON, SQL Server, Object-oriented Programming (OOP), Nginx, Git"
